Nr:24  1200 kV  ; C-divider 670 pF
Nr:25   750 kV  ; R-C-Divider (Zaengl)
Nr:26   750 kV  ; R-C-Divider (Filmer)
Nr:27  1250 kV  ; R-C-Divider (Filmer)
Nr:28   540 kV  ; R-Divider 450 MOhm
Nr:29   810 kV  ; R-Divider 675 MOhm
Nr:30   100 kV  ; R-Divider 49.25 kOhm
Nr:31   100 kV  ; R-Divider 49.25 kOhm
Nr:32   100 kV  ; R-Divider 49.25 kOhm
Nr:33   100 kV  ; R-Divider 49.25 kOhm
Nr:34   100 kV  ; R-Divider 49.25 kOhm
Nr:35   100 kV  ; R-Divider 49.25 kOhm
Nr:36   100 kV  ; R-Divider 49.25 kOhm
Nr:37   100 kV  ; R-Divider 49.25 kOhm
Nr:38   100 kV  ; R-Divider 49.25 kOhm
Nr:39  Defekt   ; Kleiner Zaengl-Teiler
Nr:40  1200 kV  ; C-Divider 200 pF 
Nr:41   650 kV  ; C-Divider  87 pF
Nr.42   220 kV  ; R-Divider 160.9 kOhm
Nr.43   220 kV  ; R-Divider 162.4 kOhm
Nr.44   650 kV  ; R-Divider  2 MOhm
Nr.45   540 kV  ; R-Divider 450 MOhm
Nr.46   100 kV  ; R-Divider (MKS, C3)
Nr.47     1 kV  ; R-Divider (Hilfskreis)
Nr.48   450 kV  ; R-Divider (C3/C4)
Nr.49   130 kV  ; R-C-Divider 
Nr.50  1200 kV  ; C-Divider 500pF
Nr.51   650 kV  ; R-Divider 11.55MOhm 
ATX xa 20b 1000V; Universal SI-9000 (1/20,1/200)
PTHX xa 06  700V; Differential Probe Active
PTHX xa 10  700V; Differential Probe Active
n.a.
